"V1"
46.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
50.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
47.98
50.28
50.28
39.28
32.28
32.28
32.28
32.28
50.28
50.28
39.28
50.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
46.28
32.28
32.28
50.28
50.28
50.28
50.28
50.28
41.28
41.28
41.28
47.98
32.28
50.28
50.28
50.28
50.28
39.28
32.28
32.28
32.28
32.28
32.28
32.28
46.28
41.28
39.28
49.28
32.28
32.28
32.28
50.28
49.28
47.98
41.28
47.98
32.28
48.48
50.28
32.28
49.28
51.28
46.28
32.28
32.28
32.28
32.28
32.28
46.28
46.28
32.28
32.28
32.28
41.28
48.28
41.28
32.28
32.28
32.28
32.28
32.28
48.78
48.78
32.28
32.28
32.28
46.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
39.28
39.28
46.28
46.28
46.28
41.28
39.28
39.28
39.28
32.28
46.28
46.28
46.28
39.28
46.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
50.28
55.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
32.28
48.68
32.28
32.28
32.28
32.28
50.28
48.78
32.28
32.28
32.28
32.28
32.28
50.28
50.28
32.28
32.28
32.28
32.28
32.28
32.28
