date	IPC
may-84	2.55075
jun-84	2.59171
jul-84	2.62328
ago-84	2.63315
sep-84	2.66218
oct-84	2.67729
nov-84	2.73185
dic-84	2.78991
ene-85	2.85227
feb-85	2.93793
mar-85	3.02916
abr-85	3.11442
may-85	3.25505
jun-85	3.3151
jul-85	3.29577
ago-85	3.28264
sep-85	3.31176
oct-85	3.34047
nov-85	3.37363
dic-85	3.41627
ene-86	3.52388
feb-86	3.63491
mar-86	3.71525
abr-86	3.8165
may-86	3.78898
jun-86	3.7613
jul-86	3.76074
ago-86	3.81339
sep-86	3.8678
oct-86	3.94741
nov-86	4.03292
dic-86	4.13186
ene-87	4.26691
feb-87	4.35361
mar-87	4.47156
abr-87	4.57234
may-87	4.65012
jun-87	4.69458
jul-87	4.76314
ago-87	4.77706
sep-87	4.8352
oct-87	4.92627
nov-87	5.03023
dic-87	5.1244
ene-88	5.27838
feb-88	5.49122
mar-88	5.65014
abr-88	5.87117
may-88	5.97258
jun-88	6.11575
jul-88	6.20435
ago-88	6.19338
sep-88	6.2372
oct-88	6.33479
nov-88	6.4226
dic-88	6.56561
ene-89	6.75162
feb-89	6.97606
mar-89	7.14929
abr-89	7.33039
may-89	7.45882
jun-89	7.56154
jul-89	7.67871
ago-89	7.78474
sep-89	7.8933
oct-89	8.02
nov-89	8.16289
dic-89	8.28074
ene-90	8.5542
feb-90	8.86809
mar-90	9.12522
abr-90	9.38194
may-90	9.5653
jun-90	9.75235
jul-90	9.88464
ago-90	10.04149
sep-90	10.2804
oct-90	10.47846
nov-90	10.69138
dic-90	10.96102
ene-91	11.29026
feb-91	11.67557
mar-91	11.97091
abr-91	12.30614
may-91	12.57743
jun-91	12.77647
jul-91	13.00867
ago-91	13.17446
sep-91	13.36596
oct-91	13.5435
nov-91	13.70884
dic-91	13.90118
ene-92	14.3876
feb-92	14.86891
mar-92	15.21327
abr-92	15.64749
may-92	16.01203
jun-92	16.37142
jul-92	16.69878
ago-92	16.82458
sep-92	16.96424
oct-92	17.10844
nov-92	17.23304
dic-92	17.39507
ene-93	17.95876
feb-93	18.54379
mar-93	18.89219
abr-93	19.25924
may-93	19.56896
jun-93	19.87209
jul-93	20.11685
ago-93	20.37014
sep-93	20.59974
oct-93	20.81995
nov-93	21.08857
dic-93	21.32774
ene-94	22.00035
feb-94	22.81129
mar-94	23.31653
abr-94	23.87024
may-94	24.23993
jun-94	24.45975
jul-94	24.68334
ago-94	24.92484
sep-94	25.197
oct-94	25.47853
nov-94	25.76272
dic-94	26.14692
ene-95	26.63043
feb-95	27.56985
mar-95	28.29186
abr-95	28.92475
may-95	29.40409
jun-95	29.75967
jul-95	29.99151
ago-95	30.18243
sep-95	30.43686
oct-95	30.70715
nov-95	30.95091
dic-95	31.23709
ene-96	32.02244
feb-96	33.30729
mar-96	34.00939
abr-96	34.68176
may-96	35.22039
jun-96	35.62416
jul-96	36.16228
ago-96	36.5613
sep-96	36.99661
oct-96	37.42344
